94.0,62.0
89.0,54.0
83.0,46.0
78.0,35.0
74.0,27.0
69.0,19.0
67.0,12.0
65.0,4.0
64.0,-3.0
61.0,-12.0
61.0,-19.0
61.0,-27.0
61.0,-34.0
61.0,-42.0
61.0,-48.0
61.0,-56.0
61.0,-64.0
62.0,-73.0
62.0,-78.0
64.0,-83.0
67.0,-89.0
68.0,-92.0
70.0,-97.0
73.0,-102.0
76.0,-106.0
79.0,-111.0
81.0,-113.0
84.0,-115.0
87.0,-117.0
92.0,-118.0
95.0,-119.0
98.0,-119.0
105.0,-119.0
110.0,-119.0
117.0,-118.0
120.0,-115.0
126.0,-111.0
133.0,-106.0
139.0,-99.0
145.0,-93.0
152.0,-85.0
159.0,-76.0
164.0,-69.0
170.0,-61.0
175.0,-56.0
180.0,-52.0
184.0,-49.0
190.0,-45.0
194.0,-44.0
196.0,-42.0
198.0,-41.0
201.0,-41.0
207.0,-41.0
214.0,-41.0
219.0,-41.0
226.0,-41.0
231.0,-44.0
237.0,-49.0
242.0,-51.0
246.0,-54.0
248.0,-58.0
250.0,-62.0
252.0,-67.0
253.0,-70.0
253.0,-73.0
253.0,-76.0
253.0,-78.0
253.0,-80.0
252.0,-82.0
249.0,-87.0
248.0,-89.0
246.0,-91.0
243.0,-94.0
240.0,-97.0
237.0,-100.0
235.0,-101.0
233.0,-103.0
228.0,-104.0
225.0,-104.0
220.0,-105.0
215.0,-105.0
208.0,-105.0
203.0,-105.0
199.0,-105.0
195.0,-102.0
193.0,-101.0
191.0,-99.0
189.0,-97.0
188.0,-96.0
186.0,-94.0
185.0,-92.0
183.0,-90.0
183.0,-89.0
181.0,-84.0
179.0,-82.0
178.0,-80.0
177.0,-77.0
175.0,-75.0
174.0,-75.0
174.0,-73.0
172.0,-73.0
172.0,-72.0
171.0,-71.0
170.0,-71.0
169.0,-71.0
169.0,-70.0
168.0,-70.0
167.0,-69.0
166.0,-69.0
166.0,-68.0
165.0,-68.0
164.0,-68.0
163.0,-68.0
163.0,-67.0
162.0,-67.0
161.0,-66.0
160.0,-65.0
159.0,-65.0
159.0,-67.0
159.0,-69.0
159.0,-71.0
156.0,-76.0
154.0,-82.0
152.0,-89.0
149.0,-96.0
145.0,-102.0
141.0,-109.0
137.0,-113.0
132.0,-119.0
125.0,-123.0
117.0,-126.0
104.0,-130.0
89.0,-132.0
66.0,-134.0
38.0,-134.0
10.0,-134.0
-12.0,-134.0
-32.0,-134.0
-47.0,-134.0
-59.0,-134.0
-74.0,-132.0
-87.0,-128.0
-98.0,-124.0
-109.0,-121.0
-121.0,-114.0
-131.0,-109.0
-141.0,-104.0
-148.0,-99.0
-155.0,-94.0
-158.0,-90.0
-161.0,-87.0
-164.0,-83.0
-164.0,-81.0
-165.0,-79.0
-165.0,-78.0
-165.0,-76.0
-165.0,-74.0
-165.0,-73.0
-165.0,-72.0
-165.0,-70.0
-165.0,-69.0
-165.0,-66.0
-165.0,-65.0
-164.0,-62.0
-163.0,-62.0
-162.0,-58.0
-162.0,-57.0
-160.0,-54.0
-159.0,-53.0
-159.0,-52.0
-158.0,-52.0
